Chn,Identifier,DLC,D0,D1,D2,D3,D4,D5,D6,D7,Time,Dir
0,199,8,0,0,0,0,0,0,0,FF,0.54331,R
0,F9,8,0,0,0,0,0,0,FF,0,0.54357,R
0,C9,8,D6,69,7,0,0,0,0,0,0.54647,R
0,191,8,0,0,0,0,0,0,0,0,0.54673,R
0,199,8,0,0,0,0,0,0,0,FF,0.55594,R
0,F9,8,0,0,0,0,0,0,FF,0,0.5562,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.55645,R
0,C9,8,E5,69,7,0,0,0,0,0,0.55662,R
0,191,8,0,0,0,0,0,0,0,0,0.55688,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.55714,R
0,1C3,8,EA,69,7,0,0,0,0,0,0.55739,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.55765,R
0,C9,8,F9,69,7,0,0,0,0,0,0.56644,R
0,191,8,0,0,0,0,0,0,0,0,0.56669,R
0,2C3,8,2B,6A,7,0,0,0,0,0,0.56695,R
0,199,8,0,0,0,0,0,0,0,FF,0.56891,R
0,F9,8,0,0,0,0,0,0,FF,0,0.56917,R
0,121,4,2,0,0,0,,,,,0.5719,R
0,C9,8,3A,6A,7,0,0,0,0,0,0.57651,R
0,191,8,0,0,0,0,0,0,0,0,0.57668,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.57881,R
0,1C3,8,40,6A,7,0,0,0,0,0,0.57907,R
0,199,8,0,0,0,0,0,0,0,FF,0.58154,R
0,F9,8,0,0,0,0,0,0,FF,0,0.5818,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.58205,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.58231,R
0,C9,8,4E,6A,7,0,0,0,0,0,0.58649,R
0,191,8,0,0,0,0,0,0,0,0,0.58675,R
0,199,8,0,0,0,0,0,0,0,FF,0.59451,R
0,F9,8,0,0,0,0,0,0,FF,0,0.59477,R
0,C9,8,5D,6A,7,0,0,0,0,0,0.59648,R
0,191,8,0,0,0,0,0,0,0,0,0.59673,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.60219,R
0,1C3,8,64,6A,7,0,0,0,0,0,0.60245,R
0,C9,8,71,6A,7,0,0,0,0,0,0.60646,R
0,191,8,0,0,0,0,0,0,0,0,0.60672,R
0,199,8,0,0,0,0,0,0,0,FF,0.60714,R
0,F9,8,0,0,0,0,0,0,FF,0,0.6074,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.60765,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.60791,R
0,C9,8,80,6A,7,0,0,0,0,0,0.61644,R
0,191,8,0,0,0,0,0,0,0,0,0.6167,R
0,2C3,8,B2,6A,7,0,0,0,0,0,0.61696,R
0,3C1,8,16,6B,7,0,0,0,0,0,0.61721,R
0,3D1,8,DE,6B,7,0,0,0,0,0,0.61747,R
0,3E9,8,7A,6B,7,0,0,0,0,0,0.61772,R
0,199,8,0,0,0,0,0,0,0,FF,0.62011,R
0,F9,8,0,0,0,0,0,0,FF,0,0.62037,R
0,C9,8,25,6B,7,0,0,0,0,0,0.62651,R
0,191,8,0,0,0,0,0,0,0,0,0.62677,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.62694,R
0,1C3,8,2A,6B,7,0,0,0,0,0,0.6272,R
0,199,8,0,0,0,0,0,0,0,FF,0.63274,R
0,F9,8,0,0,0,0,0,0,FF,0,0.633,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.63325,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.63351,R
0,C9,8,39,6B,7,0,0,0,0,0,0.6365,R
0,191,8,0,0,0,0,0,0,0,0,0.63675,R
0,199,8,0,0,0,0,0,0,0,FF,0.64571,R
0,F9,8,0,0,0,0,0,0,FF,0,0.64597,R
0,C9,8,48,6B,7,0,0,0,0,0,0.64648,R
0,191,8,0,0,0,0,0,0,0,0,0.64674,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.64878,R
0,1C3,8,4E,6B,7,0,0,0,0,0,0.64904,R
0,121,4,2,0,0,0,,,,,0.65186,R
0,C9,8,5C,6B,7,0,0,0,0,0,0.65646,R
0,191,8,0,0,0,0,0,0,0,0,0.65672,R
0,199,8,0,0,0,0,0,0,0,FF,0.65834,R
0,F9,8,0,0,0,0,0,0,FF,0,0.6586,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.65885,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.65911,R
0,C9,8,6B,6B,7,0,0,0,0,0,0.66645,R
0,191,8,0,0,0,0,0,0,0,0,0.6667,R
0,2C3,8,9D,6B,7,0,0,0,0,0,0.66696,R
0,3F9,8,FB,6C,7,0,0,0,0,0,0.66722,R
0,3FB,8,97,6C,7,0,0,0,0,0,0.66747,R
0,199,8,0,0,0,0,0,0,0,FF,0.67131,R
0,F9,8,0,0,0,0,0,0,FF,0,0.67157,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.67217,R
0,1C3,8,9E,6C,7,0,0,0,0,0,0.67242,R
0,C9,8,AB,6C,7,0,0,0,0,0,0.67652,R
0,191,8,0,0,0,0,0,0,0,0,0.67669,R
0,199,8,0,0,0,0,0,0,0,FF,0.68394,R
0,F9,8,0,0,0,0,0,0,FF,0,0.6842,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.68445,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.68471,R
0,C9,8,BA,6C,7,0,0,0,0,0,0.6865,R
0,191,8,0,0,0,0,0,0,0,0,0.68676,R
0,C9,8,C9,6C,7,0,0,0,0,0,0.69649,R
0,191,8,0,0,0,0,0,0,0,0,0.69674,R
0,199,8,0,0,0,0,0,0,0,FF,0.697,R
0,F9,8,0,0,0,0,0,0,FF,0,0.69725,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.69751,R
0,1C3,8,CE,6C,7,0,0,0,0,0,0.69768,R
0,C9,8,DD,6C,7,0,0,0,0,0,0.70647,R
0,191,8,0,0,0,0,0,0,0,0,0.70673,R
0,199,8,0,0,0,0,0,0,0,FF,0.70954,R
0,F9,8,0,0,0,0,0,0,FF,0,0.7098,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.71005,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.71031,R
0,C9,8,EC,6C,7,0,0,0,0,0,0.71645,R
0,191,8,0,0,0,0,0,0,0,0,0.71671,R
0,2C3,8,1E,6D,7,0,0,0,0,0,0.71697,R
0,3C1,8,82,6D,7,0,0,0,0,0,0.71722,R
0,3D1,8,4A,6E,7,0,0,0,0,0,0.71748,R
0,3E9,8,E6,6D,7,0,0,0,0,0,0.71773,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.71884,R
0,1C3,8,88,6D,7,0,0,0,0,0,0.7191,R
0,199,8,0,0,0,0,0,0,0,FF,0.72251,R
0,F9,8,0,0,0,0,0,0,FF,0,0.72277,R
0,C9,8,96,6D,7,0,0,0,0,0,0.72652,R
0,191,8,0,0,0,0,0,0,0,0,0.72678,R
0,121,4,2,0,0,0,,,,,0.7319,R
0,199,8,0,0,0,0,0,0,0,FF,0.73514,R
0,F9,8,0,0,0,0,0,0,FF,0,0.7354,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.73565,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.73591,R
